id	Peptide IDs	Oxidation (M) Site IDs	Oxidation (M) Site Positions	Protein IDs	Peptide Counts (all)	Peptide Counts (razor)	Peptide Counts (unique)	Only identified by site	Protein Names	Gene Names	Protein Descriptions	Uniprot	Uniprot Name	ENSEMBL	VEGA	REFSEQ	IntAct	Corum	Pfam	Pfam Names	Pfam Descriptions	PDB	MIM	GOCC	GOCC Names	GOMF	GOMF Names	GOBP	GOBP Names	DIP	Reactome	KEGG	KEGG Pathways	KEGG Pathway Names	KEGG Ortholog	Chromosome	Strand	Position	InterPro	InterPro Name	PRINTS	PRINTS Name	Prosite	Prosite Name	SMART	SMART Name	Sequence Motifs	Proteins	Peptides (seq)	Peptides (seq/mod)	Peptides (seq/mod/labels)	Razor Peptides (seq)	Razor Peptides (seq/mod)	Razor Peptides (seq/mod/labels)	Unique Peptides (seq)	Unique Peptides (seq/mod)	Unique Peptides (seq/mod/labels)	Peptides (seq) CDCH	Peptides (seq) CDCL	Razor Peptides (seq) CDCH	Razor Peptides (seq) CDCL	Unique Peptides (seq) CDCH	Unique Peptides (seq) CDCL	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment CDCH	Experiment CDCL	PEP	Ratio H/L	Ratio H/L Normalized	Ratio H/L Significance(A)	Ratio H/L Significance(B)	Ratio H/L Variability [%]	Ratio H/L Count	Ratio H/L Sequence Correlation	Ratio H/L CDCH	Ratio H/L Normalized CDCH	Ratio H/L Significance(A) CDCH	Ratio H/L Significance(B) CDCH	Ratio H/L Variability [%] CDCH	Ratio H/L Count CDCH	Ratio H/L Sequence Correlation CDCH	Ratio H/L CDCL	Ratio H/L Normalized CDCL	Ratio H/L Significance(A) CDCL	Ratio H/L Significance(B) CDCL	Ratio H/L Variability [%] CDCL	Ratio H/L Count CDCL	Ratio H/L Sequence Correlation CDCL	Intensity	Intensity L	Intensity H	Intensity CDCH	Intensity L CDCH	Intensity H CDCH	Intensity CDCL	Intensity L CDCL	Intensity H CDCL	Reverse	Contaminant
246	428;3048;3136;3137			IPI00032473;IPI00300952	4;4	8;8	8;8	FALSE	Peptidyl-prolyl cis-trans isomerase-like 3;Cyclophilin-like protein PPIL3;Cyclophilin J	PPIL3	Isoform 2 of Peptidyl-prolyl cis-trans isomerase-like 3;Isoform 1 of Peptidyl-prolyl cis-trans isomerase-like 3	Q9H2H8-2;Q9H2H8;Q9H2H8-1	PPIL3_HUMAN	ENSG00000115934	OTTHUMP00000163670;OTTHUMP00000163671	NP_115861;NP_570981;NP_572028	Q9H2H8;Q99152;O95391	Spliceosome;C complex spliceosome	PF00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	1XYH;2OJU;2OK3		GO:0005681;GO:0030529;GO:0032991;GO:0044422;GO:0044424;GO:0044428;GO:0044446;GO:0044464	spliceosome;ribonucleoprotein complex;macromolecular complex;organelle part;intracellular part;nuclear part;intracellular organelle part;cell part	GO:0003755;GO:0003824;GO:0005488;GO:0005515;GO:0016853;GO:0016859	peptidyl-prolyl cis-trans isomerase activity;catalytic activity;binding;protein binding;isomerase activity;cis-trans isomerase activity	GO:0006139;GO:0006396;GO:0006397;GO:0006457;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0019538;GO:0034960;GO:0043170;GO:0043283;GO:0044237;GO:0044238;GO:0044260;GO:0044267	"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;RNA processing;mRNA processing;protein folding;metabolic process;RNA splicing;cellular process;RNA metabolic process;mRNA metabolic process;protein metabolic process;cellular biopolymer metabolic process;macromolecule metabolic process;biopolymer metabolic process;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process;cellular protein metabolic process"			hsa:53938			K01802	2	-	201443925	IPR002130	PPIase_cyclophilin	PR00153	CSAPPISMRASE	PS00170;PS50072	CSA_PPIASE_1;CSA_PPIASE_2				2	4	4	5	4	4	5	4	4	5	1	3	1	3	1	3	24.8	24.8	24.8	18.627	165	1	3	2.52E-29	1.192	0.89377	0.27025	0.27025	75.541	3	1	1.192	0.89377	0.30308	0.30308		1	1	0.6037	0.59216	0.032047	0.032047	101.41	2	1	3282300	1195000	2087300	1849800	772110	1077700	1432500	422920	1009600		
247	499;1129;1707;2639;2780			IPI00032597;IPI00647498	5;1	10;2	10;2	FALSE	"RNA-binding motif protein, X-linked 2"	RBMX2;CGI-79	"RNA-binding motif protein, X-linked 2"	Q9Y388;A6NJ32;A8K9Z0;Q05DU0;Q0VGM7;Q9Y6G0	RBMX2_HUMAN	ENSG00000134597	OTTHUMP00000024016	NP_057108			PF00076	RRM_1	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"					GO:0000166;GO:0003676;GO:0003723;GO:0005488	nucleotide binding;nucleic acid binding;RNA binding;binding					hsa:51634				X	+	129363624	IPR012677;IPR000504	a_b_plait_nuc_bd;RRM_RNP1			PS50102	RRM	SM00360	RRM		2	5	5	9	5	5	9	5	5	9	0	5	0	5	0	5	22.7	22.7	22.7	37.335	322		9	1.41E-14	1.242	1.3155	0.31926	0.31926	19.396	9	0.2328						0	1	1.242	1.3155	0.4306	0.4306	19.396	9	0.2328	10625000	5809600	4815000	0	0	0	10625000	5809600	4815000		
248	1421;1501;3335;3337			IPI00032827	4	8	8	FALSE	Pre-mRNA branch site protein p14;SF3B 14 kDa subunit	SF3B14;CGI-110;HSPC175;HT006	Pre-mRNA branch site protein p14	Q9Y3B4;Q53TM1	PM14_HUMAN	ENSG00000115128	OTTHUMP00000155154	NP_057131	Q9Y3B4;Q9Y5J5;P23508;O75940;Q5VSU9;P40337;Q96BK5;Q9UKE5;Q9Y478;Q14164	Spliceosome;18S U11/U12 snRNP;SF3b complex;17S U2 snRNP	PF00076	RRM_1	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"	2F9D;2F9J;2FHO		GO:0005634;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044424;GO:0044464	nucleus;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cell part	GO:0000166;GO:0003676;GO:0003723;GO:0005488;GO:0005515	nucleotide binding;nucleic acid binding;RNA binding;binding;protein binding	GO:0000375;GO:0000377;GO:0000398;GO:0006139;GO:0006396;GO:0006397;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0034960;GO:0043170;GO:0043283;GO:0044237;GO:0044238;GO:0044260	"RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;nuclear mRNA splicing, via spliceosome;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;RNA processing;mRNA processing;metabolic process;RNA splicing;cellular process;RNA metabolic process;mRNA metabolic process;cellular biopolymer metabolic process;macromolecule metabolic process;biopolymer metabolic process;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process"		REACT_1675;REACT_71	hsa:51639				2	-	24143963	IPR012677;IPR000504	a_b_plait_nuc_bd;RRM_RNP1			PS50102	RRM	SM00360	RRM		1	4	4	6	4	4	6	4	4	6	1	3	1	3	1	3	46.4	46.4	46.4	14.585	125	1	3	1.82E-28	0.96541	0.9127	0.29657	0.29657	6.9428	4	1	1.4327	0.93398	0.36375	0.36375		1	1	0.93479	0.8919	0.23696	0.23696	8.4796	3	1	28333000	12064000	16269000	22381000	9273000	13108000	5951500	2791100	3160400		
249	418;1175;1988;3134			IPI00033561;IPI00479871;IPI00737869;IPI00787772;IPI00783594;IPI00787977	4;4;3;3;3;3	8;8;6;6;6;6	8;8;6;6;6;6	FALSE	RNA-binding protein with serine-rich domain 1;SR-related protein LDC2	RNPS1;LDC2	Isoform 1 of RNA-binding protein with serine-rich domain 1;Isoform 2 of RNA-binding protein with serine-rich domain 1;hypothetical protein;hypothetical protein isoform 2;hypothetical protein;hypothetical protein isoform 7	Q15287-1;Q15287;A8K1P0;Q15287-2	RNPS1_HUMAN	ENSG00000205937	OTTHUMP00000081447;OTTHUMP00000081449;OTTHUMP00000159047;OTTHUMP00000081448	NP_006702;NP_542161;XP_001130620;XP_001130637;XP_001130681;XP_001721151;XP_937843;XP_001131589;XP_001131594;XP_001131599;XP_001131605;XP_001131627;XP_001723108;XP_001723110;XP_001723114;XP_001723115;XP_001723118;XP_001130669;XP_001131621;XP_001723109	Q15287;Q15020;O14641;Q13247;Q9NRR5;Q13427;Q07955;Q9H638;Q9GZR7;O14893;Q96S94;Q9H307;P63010;Q15393;Q6PJF7;Q8IYB3;Q15029;Q96HC5;Q9NQ29;P08621;P57678;Q16630;Q96SB4;Q9BUQ8;Q9NYF8;Q9UHX1;P61289;O75643;P68400;Q9UQ35;Q9UHI6;P62995;O95232;P09012;O75400;O43809;P19784;P61326;P67870;Q9BU76;O43290;Q9Y3F4;O43395;P21127;Q6IB86;Q96JP5;Q8WXA9;O43172;Q9UBC1;Q16637;P63104;O60925;Q9Y2W1;Q02040;Q5TGH1;P78356;Q08170;Q9Y383;O94906;P08579;Q8IUR7;Q8TEQ6;Q93009;Q9BXP5;Q9NWU2;P84090;P78362;P61981;Q13435;Q96HS1;Q9UJV9;P57721;O75533;Q9H7Z3;Q86VM9;Q9Y5X1;Q03001;Q92620;Q701P4;Q9BTD8;Q9UKJ3;Q6VN20;Q9H7D7;Q9UL63;Q7Z3L0;O43464;Q96S59;O95782;Q7Z6J4;Q05519;Q9C0J8;P54136;Q92614;Q9P2I0;Q01130;P50053;P31946;Q8IZD1	"Spliceosome;Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18-RNPS1-Acinus-L;Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S;Exon junction complex;Postsplicing complex"	PF00076	RRM_1	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"			GO:0005737;GO:0016604;GO:0016607;GO:0044422;GO:0044424;GO:0044428;GO:0044446;GO:0044451;GO:0044464	cytoplasm;nuclear body;nuclear speck;organelle part;intracellular part;nuclear part;intracellular organelle part;nucleoplasm part;cell part	GO:0000166;GO:0003676;GO:0003723;GO:0005488;GO:0005515	nucleotide binding;nucleic acid binding;RNA binding;binding;protein binding	GO:0000184;GO:0000375;GO:0000377;GO:0000398;GO:0000956;GO:0006139;GO:0006350;GO:0006396;GO:0006397;GO:0006401;GO:0006402;GO:0008152;GO:0008380;GO:0009056;GO:0009057;GO:0009058;GO:0009059;GO:0009987;GO:0016070;GO:0016071;GO:0034645;GO:0034960;GO:0034961;GO:0034962;GO:0043170;GO:0043283;GO:0043284;GO:0043285;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044260;GO:0044265	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;nuclear mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;transcription;RNA processing;mRNA processing;RNA catabolic process;mRNA catabolic process;metabolic process;RNA splicing;catabolic process;macromolecule catabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;RNA metabolic process;mRNA metabolic process;cellular macromolecule biosynthetic process;cellular biopolymer metabolic process;cellular biopolymer biosynthetic process;cellular biopolymer catabolic process;macromolecule metabolic process;biopolymer metabolic process;biopolymer biosynthetic process;biopolymer catabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular macromolecule catabolic process"		REACT_1675;REACT_1788;REACT_6167;REACT_71	hsa:10921				16	-	2243125	IPR012677;IPR000504	a_b_plait_nuc_bd;RRM_RNP1			PS50102	RRM	SM00360	RRM		6	4	4	8	4	4	8	4	4	8	2	3	2	3	2	3	17.7	17.7	17.7	34.208	305	3	4	9.55E-50	1.2404	1.1554	0.42282	0.42282	8.4632	7	1	1.6524	1.0978	0.37237	0.37237	4.7071	3	1	1.1547	1.2472	0.45887	0.45887	6.6316	4	1	33413000	13992000	19421000	23104000	8471500	14633000	10309000	5521000	4787600		
250	101;336;414;552;616;642;657;951;1038;1100;1151;1152;1190;1212;1259;1595;1753;1912;2036;2456;2628;2669;2743;2747;2988;3109;3110;3172	66;67;68;69;70	244;521;525;1177;1652	IPI00033907;IPI00412514;IPI00787723;IPI00889167;IPI00887003	28;8;7;1;1	56;16;14;2;2	56;16;14;2;2	FALSE	Anaphase-promoting complex subunit 1;Cyclosome subunit 1;Testis-specific gene 24 protein;Mitotic checkpoint regulator	ANAPC1;TSG24	Anaphase-promoting complex subunit 1	Q9H1A4	APC1_HUMAN	ENSG00000153107	OTTHUMP00000161951	NP_073153	Q9H1A4;Q8IZD1	Anaphase-promoting complex	PF01851	PC_rep	Proteasome/cyclosome repeat			GO:0005654;GO:0005829;GO:0044422;GO:0044424;GO:0044428;GO:0044444;GO:0044446;GO:0044464	nucleoplasm;cytosol;organelle part;intracellular part;nuclear part;cytoplasmic part;intracellular organelle part;cell part			GO:0000280;GO:0006508;GO:0006511;GO:0006996;GO:0007067;GO:0008152;GO:0009056;GO:0009057;GO:0009987;GO:0010498;GO:0016043;GO:0019538;GO:0019941;GO:0022402;GO:0022403;GO:0030163;GO:0031145;GO:0034960;GO:0034962;GO:0043085;GO:0043086;GO:0043161;GO:0043170;GO:0043283;GO:0043285;GO:0043632;GO:0044092;GO:0044093;GO:0044237;GO:0044238;GO:0044248;GO:0044257;GO:0044260;GO:0044265;GO:0044267;GO:0048285;GO:0050790;GO:0051301;GO:0051340;GO:0051351;GO:0051352;GO:0051436;GO:0051437;GO:0051438;GO:0051439;GO:0051443;GO:0051444;GO:0051603;GO:0065007;GO:0065009	nuclear division;proteolysis;ubiquitin-dependent protein catabolic process;organelle organization;mitosis;metabolic process;catabolic process;macromolecule catabolic process;cellular process;proteasomal protein catabolic process;cellular component organization;protein metabolic process;modification-dependent protein catabolic process;cell cycle process;cell cycle phase;protein catabolic process;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;cellular biopolymer metabolic process;cellular biopolymer catabolic process;positive regulation of catalytic activity;negative regulation of catalytic activity;proteasomal ubiquitin-dependent protein catabolic process;macromolecule metabolic process;biopolymer metabolic process;biopolymer catabolic process;modification-dependent macromolecule catabolic process;negative regulation of molecular function;positive regulation of molecular function;cellular metabolic process;primary metabolic process;cellular catabolic process;cellular protein catabolic process;cellular macromolecule metabolic process;cellular macromolecule catabolic process;cellular protein metabolic process;organelle fission;regulation of catalytic activity;cell division;regulation of ligase activity;positive regulation of ligase activity;negative regulation of ligase activity;negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle;regulation of ubiquitin-protein ligase activity;regulation of ubiquitin-protein ligase activity during mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity;negative regulation of ubiquitin-protein ligase activity;proteolysis involved in cellular protein catabolic process;biological regulation;regulation of molecular function		REACT_152;REACT_1538;REACT_6850;REACT_8017;REACT_9035	hsa:64682	ko04120;ko04110;ko04111;ko04914	Ubiquitin mediated proteolysis;Cell cycle;Cell cycle - yeast;Progesterone-mediated oocyte maturation	K03348	2	-	112243113	IPR002015	APC_proteasome							Ken box	5	28	34	44	28	34	44	28	34	44	12	26	12	26	12	26	21.1	21.1	21.1	216.5	1944	19	44	3.91E-205	24.339	17.497	1.30E-09	1.30E-09	191.34	36	0.17646	22.027	14.409	3.26E-35	3.26E-35	37.442	15	0.89835	48.677	50.524	1.98E-07	1.98E-07	216.07	21	0.094421	404660000	261820000	142840000	148910000	6439300	142470000	255750000	255380000	364770		
251	309;370;625;733;1395;1885;1913;2176;2356;2730;3008;3069;3304			IPI00036742;IPI00789281;IPI00868931;IPI00337420	13;13;6;6	26;26;12;12	26;26;12;12	FALSE	Protein virilizer homolog	KIAA1429;MSTP054	Isoform 1 of Protein virilizer homolog;Isoform 3 of Protein virilizer homolog	Q69YN4-1;Q69YN4;Q69YN4-3	VIR_HUMAN	ENSG00000164944	OTTHUMP00000178101;OTTHUMP00000178102	NP_056311		Spliceosome;CEN complex						GO:0005634;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044424;GO:0044464	nucleus;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cell part			GO:0006139;GO:0006396;GO:0006397;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0034960;GO:0043170;GO:0043283;GO:0044237;GO:0044238;GO:0044260	"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;RNA processing;mRNA processing;metabolic process;RNA splicing;cellular process;RNA metabolic process;mRNA metabolic process;cellular biopolymer metabolic process;macromolecule metabolic process;biopolymer metabolic process;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process"			hsa:25962				8	-	95569776										4	13	13	22	13	13	22	13	13	22	1	13	1	13	1	13	9.9	9.9	9.9	202.02	1812	1	17	9.35E-162	0.74605	0.75346	0.10637	0.10637	17.128	18	0.12233	1.0095	0.74763	0.1163	0.1163		1	1	0.73875	0.75933	0.12257	0.12257	17.648	17	0.10761	28375000	11712000	16663000	1055600	512020	543580	27319000	11200000	16119000		
252	2355			IPI00646086;IPI00219162;IPI00037619;IPI00888519	1;1;1;1	2;2;2;2	2;2;2;2	FALSE	60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5;60 ribosomal protein L39 pseudogene 5	RPL39;RPL39P5	Protein;60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5;similar to mCG146274	P62891;Q59GN2	RL39_HUMAN;R39L5_HUMAN	ENSG00000198918;ENSG00000214289	OTTHUMP00000023909;OTTHUMP00000023908;OTTHUMP00000172914	NP_000991;XP_001723547;XP_001724620;XP_001724982		"Ribosome, cytoplasmic;60S ribosomal subunit, cytoplasmic;Nop56p-associated pre-rRNA complex"	PF00832	Ribosomal_L39	Ribosomal L39 protein	2ZKR		GO:0015934;GO:0022625;GO:0030529;GO:0032991;GO:0033279;GO:0044422;GO:0044424;GO:0044444;GO:0044445;GO:0044446;GO:0044464;GO:0005840;GO:0043226;GO:0043228;GO:0043229;GO:0043232	large ribosomal subunit;cytosolic large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;ribosomal subunit;organelle part;intracellular part;cytoplasmic part;cytosolic part;intracellular organelle part;cell part;ribosome;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle	GO:0003676;GO:0003723;GO:0003735;GO:0005198;GO:0005488	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding	GO:0006414;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0034645;GO:0034960;GO:0034961;GO:0043170;GO:0043283;GO:0043284;GO:0044237;GO:0044249;GO:0044260;GO:0006412;GO:0019538;GO:0044238;GO:0044267	translational elongation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular macromolecule biosynthetic process;cellular biopolymer metabolic process;cellular biopolymer biosynthetic process;macromolecule metabolic process;biopolymer metabolic process;biopolymer biosynthetic process;cellular metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;translation;protein metabolic process;primary metabolic process;cellular protein metabolic process		REACT_1762;REACT_6167;REACT_71	hsa:6170	ko03010	Ribosome	K02924	X;3	-	118804497	IPR000077	Ribosomal_L39			PS00051	RIBOSOMAL_L39E				4	1	1	2	1	1	2	1	1	2	0	1	0	1	0	1	12.1	12.1	12.1	11.502	99		1	0.005267	4.4629	4.2586	0.0015402	0.0015402		1	1						0	1	4.4629	4.2586	0.039949	0.039949		1	1	337040	256780	80261	0	0	0	337040	256780	80261		
253	114;253;606;658;659;788;2288;2289;2822;3378			IPI00395014;IPI00044960;IPI00796981	10;10;5	20;20;10	20;20;10	FALSE	Arginine/serine-rich coiled-coil protein 1	RSRC1;BM-011	Isoform 1 of Arginine/serine-rich coiled-coil protein 1;Isoform 2 of Arginine/serine-rich coiled-coil protein 1;11 kDa protein	Q96IZ7-1;Q96IZ7;A8K2R9;Q96IZ7-2	RSRC1_HUMAN	ENSG00000174891	OTTHUMP00000173346;OTTHUMP00000173347;OTTHUMP00000173349	NP_057709	Q96IZ7;Q75LP0;P68104;O60383;Q9Y333;Q9BVJ6;P61981															hsa:51319				3	+	159310555										3	10	10	20	10	10	20	10	10	20	3	9	3	9	3	9	35.9	35.9	35.9	38.677	334	3	23	2.34E-124	1.3901	1.4176	0.26493	0.26493	31.14	24	0.65148	0.93871	0.64947	0.041972	0.041972	23.439	3	1	1.4036	1.4313	0.38664	0.38664	17.775	21	0.13923	124120000	70485000	53639000	18643000	9438400	9204400	105480000	61047000	44435000		
254	1750;2995			IPI00219037;IPI00045109;IPI00102165;IPI00216730	2;2;1;1	2;2;0;2	2;2;0;2	FALSE	Histone H2A.x;Histone H2A type 1-A;H2A/r;Histone H2A.J;Histone H2A type 2-B	H2AFX;H2AX;HIST1H2AA;H2AFR;H2AFJ;HIST2H2AB	Histone H2A.x;Histone H2A type 1-A;Isoform 2 of Histone H2A.J;Histone H2A type 2-B	P16104;Q96QV6;Q9BTM1-2;Q9BTM1;Q8IUE6	H2AX_HUMAN;H2A1A_HUMAN;H2AJ_HUMAN;H2A2B_HUMAN	ENSG00000188486;ENSG00000164508;ENSG00000111332;ENSG00000184270	OTTHUMP00000016122;OTTHUMP00000166790;OTTHUMP00000013908	NP_002096;NP_734466;NP_778235	P16104;P32121;P49407;P62988;Q96RL1;Q12888;O76064;Q14676;O60934;P38398;P49959;O00267;Q8IUE6	"H2AX complex, isolated from cells without IR exposure;H2AX complex I;H2AX complex II;MDC1-H2AFX-TP53BP1 complex"	PF00125	Histone	Core histone H2A/H2B/H3/H4	2D31;2DYP		GO:0000786;GO:0005654;GO:0032991;GO:0032993;GO:0044422;GO:0044424;GO:0044427;GO:0044428;GO:0044446;GO:0044464;GO:0005634;GO:0043226;GO:0043227;GO:0043229;GO:0043231	nucleosome;nucleoplasm;macromolecular complex;protein-DNA complex;organelle part;intracellular part;chromosomal part;nuclear part;intracellular organelle part;cell part;nucleus;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle	GO:0005488;GO:0005515;GO:0019899;GO:0042393;GO:0003676;GO:0003677	binding;protein binding;enzyme binding;histone binding;nucleic acid binding;DNA binding	GO:0006282;GO:0006325;GO:0006334;GO:0006996;GO:0007126;GO:0009314;GO:0009628;GO:0009893;GO:0009987;GO:0010212;GO:0010604;GO:0010926;GO:0016043;GO:0019219;GO:0019222;GO:0022402;GO:0022403;GO:0022607;GO:0031323;GO:0031325;GO:0034621;GO:0034622;GO:0034728;GO:0043933;GO:0045739;GO:0045935;GO:0048518;GO:0048522;GO:0048583;GO:0048584;GO:0050789;GO:0050794;GO:0050896;GO:0051052;GO:0051054;GO:0051276;GO:0060255;GO:0065003;GO:0065004;GO:0065007;GO:0080090;GO:0080134;GO:0080135	"regulation of DNA repair;establishment or maintenance of chromatin architecture;nucleosome assembly;organelle organization;meiosis;response to radiation;response to abiotic stimulus;positive regulation of metabolic process;cellular process;response to ionizing radiation;positive regulation of macromolecule metabolic process;anatomical structure formation;cellular component organization;regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;regulation of metabolic process;cell cycle process;cell cycle phase;cellular component assembly;regulation of cellular metabolic process;positive regulation of cellular metabolic process;cellular macromolecular complex subunit organization;cellular macromolecular complex assembly;nucleosome organization;macromolecular complex subunit organization;positive regulation of DNA repair;positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;positive regulation of biological process;positive regulation of cellular process;regulation of response to stimulus;positive regulation of response to stimulus;regulation of biological process;regulation of cellular process;response to stimulus;regulation of DNA metabolic process;positive regulation of DNA metabolic process;chromosome organization;regulation of macromolecule metabolic process;macromolecular complex assembly;protein-DNA complex assembly;biological regulation;regulation of primary metabolic process;regulation of response to stress;regulation of cellular response to stress"		REACT_216;REACT_7970	hsa:3014;hsa:221613;hsa:55766;hsa:317772	ko05322	Systemic lupus erythematosus	K11251	11;6;12;1	-	118469799	IPR007125;IPR002119;IPR009072	Histone_core_D;Histone_H2A;Histone-fold	PR00620	HISTONEH2A	PS00046	HISTONE_H2A	SM00414	H2A		4	2	2	3	1	1	2	1	1	2	1	1	1	0	1	0	30.1	16.1	16.1	15.144	143	2		2.31E-14	1.6809	1.1021	0.46234	0.46234	3.9025	2	1	1.6809	1.1021	0.36553	0.36553	3.9025	2	1						0	1	81374000	29201000	52173000	81374000	29201000	52173000	0	0	0		
255	1216;2675			IPI00045914	2	4	4	FALSE	Msx2-interacting protein;SPEN homolog;SMART/HDAC1-associated repressor protein	SPEN;KIAA0929;MINT;SHARP	Msx2-interacting protein	Q96T58	MINT_HUMAN	ENSG00000065526	OTTHUMP00000010982	NP_055816	Q96T58;P41182;P54253	Spliceosome;RBP-Jkappa-SHARP complex;SHARP-CtBP complex;SHARP-CtBP1-CtIP complex;SHARP-CtIP-RBP-Jkappa complex;SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	PF00076;PF07744	RRM_1;SPOC	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);SPOC domain"	1OW1		GO:0005634;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0044424;GO:0044464	nucleus;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cell part	GO:0000166;GO:0003676;GO:0003723;GO:0005488	nucleotide binding;nucleic acid binding;RNA binding;binding	GO:0006139;GO:0006350;GO:0007154;GO:0007165;GO:0007166;GO:0007219;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0034645;GO:0034960;GO:0034961;GO:0043170;GO:0043283;GO:0043284;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0050789;GO:0050794;GO:0065007	"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;transcription;cell communication;signal transduction;cell surface receptor linked signal transduction;Notch signaling pathway;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular macromolecule biosynthetic process;cellular biopolymer metabolic process;cellular biopolymer biosynthetic process;macromolecule metabolic process;biopolymer metabolic process;biopolymer biosynthetic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;regulation of biological process;regulation of cellular process;biological regulation"			hsa:23013				1	+	16046946	IPR012677;IPR000504;IPR012921;IPR010912	a_b_plait_nuc_bd;RRM_RNP1;SPOC;SPOC_met			PS50102;PS50917	RRM;SPOC	SM00360	RRM		1	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	0.7	0.7	0.7	402.24	3664		2	0.11338	0.96167	0.88836	0.26284	0.26284	33.507	2	1						0	1	0.96167	0.88836	0.23357	0.23357	33.507	2	1	420820	200680	220140	0	0	0	420820	200680	220140		
