test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000075	XLOC_000027	uc001adr.3	chr1:1189291-1209234	WildType	KnockDown	NOTEST	1332.9	294.582	-2.17783	0	1	1	no
TCONS_00000076	XLOC_000028	uc001ady.2	chr1:1227763-1260067	WildType	KnockDown	LOWDATA	0	0	0	0	1	1	no
TCONS_00000077	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	193.344	21.2522	-3.18549	0	1	1	no
TCONS_00000078	XLOC_000028	uc001aea.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	233.372	441.601	0.920113	0	1	1	no
TCONS_00000079	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	OK	1289.53	1989.98	0.625906	0.300579	0.60485	0.705658	no
TCONS_00000080	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0.354145	540.092	10.5746	0	1	1	no
TCONS_00000081	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	1.16138	34.7416	4.90276	0	1	1	no
TCONS_00000082	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	OK	8843.56	12072.8	0.449059	1.03842	0.09465	0.23205	no
TCONS_00000083	XLOC_000028	uc001aeb.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000084	XLOC_000028	uc001aec.1	chr1:1227763-1260067	WildType	KnockDown	LOWDATA	278.102	322.861	0.215301	0	1	1	no
TCONS_00000085	XLOC_000029	uc009vjy.1	chr1:1227763-1260067	WildType	KnockDown	OK	2215.09	1548.22	-0.516757	-0.578542	0.35545	0.518365	no
TCONS_00000086	XLOC_000029	uc001aee.2	chr1:1227763-1260067	WildType	KnockDown	OK	14623	10307.4	-0.504563	-1.74971	0.0049	0.0214375	yes
TCONS_00000087	XLOC_000029	uc001aef.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0	104.317	inf	0	1	1	no
TCONS_00000088	XLOC_000029	uc001aeg.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	118.575	0	-inf	0	1	1	no
TCONS_00000089	XLOC_000029	uc001aeh.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000090	XLOC_000029	uc001aei.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000091	XLOC_000029	uc001aek.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	1445.9	1179.18	-0.294186	0	1	1	no
TCONS_00000092	XLOC_000029	uc009vjz.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	1092.39	0	-inf	0	1	1	no
TCONS_00000093	XLOC_000029	uc010nyj.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	0	431.37	inf	0	1	1	no
TCONS_00000094	XLOC_000029	uc001ael.3	chr1:1227763-1260067	WildType	KnockDown	OK	1959.05	1943.26	-0.0116705	-0.0110384	0.9801	0.9801	no
TCONS_00000095	XLOC_000029	uc001aen.2	chr1:1227763-1260067	WildType	KnockDown	NOTEST	339.465	1283.43	1.91867	0	1	1	no
TCONS_00000096	XLOC_000030	uc002quu.3	chr1:1270657-1284506	WildType	KnockDown	LOWDATA	1901.05	1852.72	-0.0371555	0	1	1	no
TCONS_00000097	XLOC_000030	uc009vka.3	chr1:1270657-1284506	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000098	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WildType	KnockDown	OK	11773	6605.69	-0.833705	-2.51852	0.00035	0.00204167	yes
TCONS_00000099	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WildType	KnockDown	OK	1792.11	1401.74	-0.354445	-0.242432	0.66265	0.724828	no
TCONS_00000100	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WildType	KnockDown	OK	3560.98	4697.89	0.39974	0.543488	0.34615	0.518365	no
TCONS_00000101	XLOC_000030	uc001aer.4	chr1:1270657-1284506	WildType	KnockDown	NOTEST	0.482761	434.899	9.81516	0	1	1	no
TCONS_00000102	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WildType	KnockDown	NOTEST	282.159	111.105	-1.34458	0	1	1	no
TCONS_00000103	XLOC_000031	uc001aew.3	chr1:1288070-1297157	WildType	KnockDown	OK	83163.2	119163	0.518918	3.96926	5e-05	0.00035	yes
TCONS_00000104	XLOC_000031	uc001aex.4	chr1:1288070-1297157	WildType	KnockDown	NOTEST	0	534.827	inf	0	1	1	no
TCONS_00000105	XLOC_000031	uc001aey.4	chr1:1288070-1297157	WildType	KnockDown	OK	9014.02	6634.48	-0.442187	-0.556805	0.2973	0.4955	no
TCONS_00000106	XLOC_000031	uc001aez.3	chr1:1288070-1297157	WildType	KnockDown	OK	10620.6	8349.46	-0.347104	-0.20735	0.7409	0.762691	no
TCONS_00000107	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000108	XLOC_000031	uc001afa.3	chr1:1288070-1297157	WildType	KnockDown	NOTEST	228.463	0	-inf	0	1	1	no
TCONS_00000109	XLOC_000032	uc001afb.1	chr1:1309109-1310818	WildType	KnockDown	OK	43019.9	34225.9	-0.329916	-0.92827	0.1067	0.233406	no
TCONS_00000110	XLOC_000032	uc009vkb.1	chr1:1309109-1310818	WildType	KnockDown	NOTEST	1227.84	0.654406	-10.8737	0	1	1	no
TCONS_00000111	XLOC_000032	uc001afd.2	chr1:1309109-1310818	WildType	KnockDown	OK	19830.7	21477.6	0.115095	0.250917	0.6627	0.724828	no
TCONS_00000112	XLOC_000032	uc001afc.2	chr1:1309109-1310818	WildType	KnockDown	OK	8725.89	9710.09	0.154182	0.214373	0.705	0.747727	no
TCONS_00000113	XLOC_000033	uc010nym.1	chr1:1321090-1334718	WildType	KnockDown	NOTEST	200.068	468.839	1.2286	0	1	1	no
TCONS_00000114	XLOC_000033	uc001aff.1	chr1:1321090-1334718	WildType	KnockDown	LOWDATA	939.141	1686.29	0.844439	0	1	1	no
TCONS_00000115	XLOC_000033	uc001afg.1	chr1:1321090-1334718	WildType	KnockDown	LOWDATA	1.37527	0	-inf	0	1	1	no
TCONS_00000116	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	NOTEST	763.006	0	-inf	0	1	1	no
TCONS_00000117	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	NOTEST	598.867	352.941	-0.762809	0	1	1	no
TCONS_00000118	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	NOTEST	1435.66	1078.24	-0.413036	0	1	1	no
TCONS_00000119	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	OK	2290.9	1627.67	-0.493108	-0.255099	0.59725	0.705658	no
TCONS_00000120	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	NOTEST	23.0126	0	-inf	0	1	1	no
TCONS_00000121	XLOC_000033	uc001afi.2	chr1:1321090-1334718	WildType	KnockDown	OK	2812.4	5056.07	0.846212	0.660155	0.2449	0.428575	no
TCONS_00000122	XLOC_000033	uc001afj.2	chr1:1321090-1334718	WildType	KnockDown	OK	573.965	1830	1.67281	0.648135	0.4556	0.613308	no
TCONS_00000123	XLOC_000033	uc021oep.1	chr1:1321090-1334718	WildType	KnockDown	LOWDATA	9337.99	12903.5	0.466584	0	1	1	no
TCONS_00000124	XLOC_000034	uc001afo.4	chr1:1334909-1342693	WildType	KnockDown	NOTEST	815.737	1447.42	0.827311	0	1	1	no
TCONS_00000125	XLOC_000034	uc001afo.4	chr1:1334909-1342693	WildType	KnockDown	OK	64135.2	50813.4	-0.335906	-2.0392	0.00055	0.00275	yes
TCONS_00000126	XLOC_000034	uc010nyn.1	chr1:1334909-1342693	WildType	KnockDown	NOTEST	459.258	616.729	0.42533	0	1	1	no
TCONS_00000127	XLOC_000035	uc001afp.3	chr1:1353799-1356824	WildType	KnockDown	NOTEST	32.0062	0	-inf	0	1	1	no
TCONS_00000128	XLOC_000035	uc001afq.3	chr1:1353799-1356824	WildType	KnockDown	NOTEST	2.45309	0	-inf	0	1	1	no
TCONS_00000129	XLOC_000035	uc010nyo.2	chr1:1353799-1356824	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000130	XLOC_000036	uc009vkf.3	chr1:1470157-1475740	WildType	KnockDown	NOTEST	1381.84	1900.87	0.460068	0	1	1	no
TCONS_00000131	XLOC_000037	uc001agd.3	chr1:1477052-1510262	WildType	KnockDown	OK	57572.6	60101.5	0.0620182	0.664508	0.31805	0.505989	no
TCONS_00000132	XLOC_000037	uc009vkg.1	chr1:1477052-1510262	WildType	KnockDown	NOTEST	0	170.172	inf	0	1	1	no
TCONS_00000133	XLOC_000037	uc001age.1	chr1:1477052-1510262	WildType	KnockDown	OK	3454.52	2194.19	-0.654794	-1.55603	0.00905	0.0351944	yes
TCONS_00000134	XLOC_000038	-	chr1:1343781-1344638	WildType	KnockDown	NOTEST	884.551	1381.17	0.642871	0	1	1	no
